BiGG	SEED
PNTORtm	rxn09166
PNTOte	rxn09166
PNTOtex	rxn09166
PNTOt2	rxn05308
PNTOt4	rxn09165
PNTOt4pp	rxn09165
POR2	rxn10588
POR3	rxn10589
POR_syn	rxn13974
PYRShi	rxn13974
POX	rxn09167
POX2	rxn10878
PPA2	rxn00106
PPA2m	rxn00106
EX_ppal_e	rxn09169
PPALtex	rxn09169
PPALtpp	rxn09169
PPAt2pp	rxn05634
PPAt6	rxn05634
PPASMCT1	rxn09171
PPAt4pp	rxn09171
EX_ppa_e	rxn09172
PPAtex	rxn09172
PPAth	rxn09172
PPAtm	rxn09172
PPAtr	rxn09172
PPBNGS	rxn00029
PPBNGS_1	rxn00029
PPBNGS_h	rxn00029
PEPC_h	rxn00251
PEPC_m	rxn00251
PPC	rxn00251
PPCDC	rxn02341
r0614	rxn02341
PPCK	rxn00247
PPCKg	rxn00247
PPCKm	rxn00247
PPCOAC	rxn01355
PPCOACm	rxn01355
PPCOAth	rxn32564
PPCOAtm	rxn32564
r1292	rxn32564
PPCSCT	rxn09174
PPDD	rxn15325
PPDIMAS	rxn10716
EX_ppdima_e	rxn10825
PPDIMAT	rxn10825
PPDK	rxn00151
PPDK_h	rxn00151
PPDKgr	rxn00151
PPDKh	rxn00151
PPDOy	rxn15346
PPGPPDP	rxn00242
PPGPPDP_c	rxn00242
PPIabc	rxn05635
PPIuabcpp	rxn05635
EX_ppi_e	rxn29733
PPItex_1	rxn29733
PPIth	rxn29733
PPItm	rxn29733
PPItr	rxn29733
PPItu	rxn29733
PPItx	rxn29733
r1459	rxn29733
PPK2	rxn00104
PPK	rxn09176
PPNCL	rxn10003
PPNCL2	rxn09177
PPNCL2_1	rxn09177
PPNCL_m	rxn09177
PPNCL3	rxn12512
PPPG9tm	rxn09721
PPPNt2r	rxn09182
PPPNt2rpp	rxn09182
EX_pppn_e	rxn09183
PPPNtex	rxn09183
PPRDNDH	rxn12742
PPRGL	rxn02895
PPRGLh	rxn02895
PRAGSr	rxn02895
PPS	rxn00147
PPTHpp	rxn09184
EX_ppt_e	rxn09185
PPTtex	rxn09185
PQQm	rxn35236
PRAI	rxn02508
PRAIi	rxn02508
PRDX	rxn00427
PRDXl	rxn00427
PREPTHS2	rxn10708
PRGNLONESULT	rxn14214
PRICIh	rxn03175
PRMICI	rxn03175
HMR_4777	rxn00932
PROAKGOX1	rxn00932
PROAKGOX1r	rxn00932
PROLBabc	rxn10073
PRONA1tm	rxn05221
PROt4	rxn05221
PROt4pp	rxn05221
EX_prostge2_e	rxn31830
PROSTGE2t2	rxn31830
PROSTGE2t2m	rxn31830
PROSTGE2t2r	rxn31830
EX_prostgf2_e	rxn32895
PROSTGF2t	rxn32895
PROabc	rxn05165
PROabcpp	rxn05165
EX_prpp_e	rxn09719
PRPPtm	rxn09719
PRUK	rxn01111
PRUK_1	rxn01111
PSAT	rxn02914
PSAT_m	rxn02914
PSERT	rxn02914
PSCIT	rxn02476
PSCVT	rxn02476
PSCVT_1	rxn02476
PSCLYSt2pp	rxn09195
EX_psclys_e	rxn09196
PSCLYStex	rxn09196
PSD_HP	rxn10907
PSER_Dt6	rxn05639
PSER_Lt6	rxn05640
EX_pser__L_e	rxn09204
PSERtex	rxn09204
PSERtr	rxn09204
PSIblue	rxn35365
PSIred	rxn35367
PSLP	rxn10592
PSLS	rxn10593
PSP	rxn00420
PSP_L	rxn00420
PSP_L_1	rxn00420
PSP_Lpp	rxn00420
PSP_m	rxn00420
PSPHS	rxn04381
PSP_D	rxn02046
PSSA2_hs	rxn07254
PSSA_HP	rxn11002
PSUDS	rxn00776
YUMPS	rxn00776
PTAr	rxn00173
PTArh	rxn00173
PTArm	rxn00173
HMR_0414	rxn11726
PTE5x	rxn11726
PTHRP	rxn09212
PTHRpp	rxn09212
PTOLDOX	rxn03602
PTOR	rxn00852
PTRCOX1	rxn00852
r0281	rxn00852
PTRCAT1	rxn00855
PTRCORNt7	rxn09214
PTRCORNt7pp	rxn09214
PTRCTA	rxn00856
PTRCabc	rxn05163
PTRCabcpp	rxn05163
EX_ptrc_e	rxn09216
PTRCtex	rxn09216
PTRCtex2	rxn09216
r0907	rxn09216
PTRCt2	rxn05687
PTRCt2pp	rxn05687
PTRCtmi	rxn05687
PTRCt3i	rxn13392
PTRCthr	rxn13392
PUNP1	rxn01138
PUNP1_1	rxn01138
PUNP1m	rxn01138
PUNP7	rxn01649
PUNP7_1	rxn01649
PUTA3	rxn00183
r0074	rxn00183
PYAM5PO	rxn00208
PYAM5Ptm	rxn33278
ATPX5P	rxn01807
PYDAMK	rxn01807
EX_pydam_e	rxn29116
PYDAMtex	rxn29116
PYDAMtpp	rxn29116
PYDAMtr	rxn29116
SK_pydam_c	rxn29116
DM_pydx5p_c	rxn33648
EX_pydx5p_e	rxn33648
PYDX5Ptm	rxn33648
PYRDX5Pt_h	rxn33648
r0871	rxn33648
PYDXDH	rxn11559
PYDXDH_1	rxn11559
PYDXK	rxn00124
PYDXK_1	rxn00124
PYDXNK	rxn01396
PYDXNO	rxn01252
EX_pydxn_e	rxn13097
PYDXNtex	rxn13097
PYDXNtpp	rxn13097
PYDXNtr	rxn13097
SK_pydxn_c	rxn13097
PYDXO	rxn09566
PYDXOR	rxn01249
PYDXO_1	rxn01251
PYDXPP	rxn00123
EX_pydx_e	rxn12666
PYDXtex	rxn12666
PYDXtpp	rxn12666
PYDXtr	rxn12666
SK_pydx_c	rxn12666
PYK	rxn00148
PYK_h	rxn00148
PYKf	rxn00148
PYKm	rxn00148
PYK2	rxn00460
PYK4	rxn00411
PYLALDOX	rxn04234
PYLALDOXm	rxn04234
PYNP1	rxn01648
PYNP1_1	rxn01648
PYNP2r	rxn01366
PYNP2r_1	rxn01366
PYR5CDm	rxn09487
PYRDC	rxn00168
PYRDC_1	rxn00168
PYRDOX	rxn12749
EX_pyr_e	rxn09218
PYRt	rxn09218
PYRt_x	rxn09218
PYRtex	rxn09218
PYRtf	rxn09218
PYRth	rxn09218
PYRtm	rxn09218
PYRt2	rxn05469
PYRt2m	rxn05469
PYRt2p	rxn05469
PYRt2rpp	rxn05469
EX_p_xyl_e	rxn12807
P_XYLtpp	rxn12807
P_Xylt1	rxn12807
QMO2	rxn09219
QMO3	rxn09220
QULNS	rxn02988
QULNS_1	rxn02988
QULNS_m	rxn02988
EX_quln_e	rxn09716
QULNtm	rxn09716
R01465m	rxn01068
THRD	rxn01068
R15BPK	rxn04651
R1PK	rxn09221
R5PFL	rxn13905
R5PP	rxn09222
R5PPpp	rxn09222
EX_r5p_e	rxn09223
R5Ptex	rxn09223
R5Pth	rxn09223
r0840	rxn09223
DM_retn_n	rxn32151
EX_retn_e	rxn32151
RAtn	rxn32151
RETNt	rxn32151
RETNtr	rxn32151
RBCh	rxn02251
RBCh_1	rxn02251
RBCh_2	rxn02251
RBP4E	rxn04082
RBPC	rxn00018
RBPC_1	rxn00018
RBPCh	rxn00018
RBPI	rxn10594
EX_rbt_e	rxn29487
RBTt	rxn29487
RE0565C	rxn23551
RE0566C	rxn23534
RE0569C	rxn23554
RE0569E	rxn23554
RE0570C	rxn23531
RE0577C	rxn11710
RE0577M	rxn11710
RE0577X	rxn11710
RE0579C	rxn11720
RE0579C_1	rxn11720
RE0579M	rxn11720
RE0579X	rxn11720
RE0581C	rxn07573
RE0581R	rxn07573
HMR_2193	rxn07574
HMR_3075	rxn07574
HMR_3116	rxn07574
RE0582N	rxn07574
RE0691C	rxn05118
RE1266C	rxn41595
RE1266C_1	rxn41595
RE1537C	rxn15944
RE1537X	rxn15944
RE1538C	rxn20933
RE1538X	rxn20933
RE1539C	rxn39432
RE1539X	rxn39432
RE1587C	rxn01695
RE1587L	rxn01695
RE1587R	rxn01695
RE1630C	rxn03258
RE1630R	rxn03258
RE1711C_2	rxn21117
RE1828C	rxn14303
RE1828M	rxn14303
RE1897C	rxn07308
RE2030M	rxn26464
HMR_1321	rxn01882
RE2078M	rxn01882
HMR_1332	rxn02019
RE2079R	rxn02019
RE2122C	rxn19266
RE2124C	rxn01717
RE2133C	rxn25866
RE2235C	rxn01696
RE2235R	rxn01696
RE2292C	rxn45233
RE2386C	rxn03260
RE2513C	rxn16408
RE2513E	rxn16408
RE2513L	rxn16408
RE2513N	rxn16408
RE2563C	rxn44847
RE2640C	rxn36656
RE2649C	rxn24522
RE2649M	rxn24522
RE2649X	rxn24522
RE2718C	rxn02628
RE2718G	rxn02628
HMR_1318	rxn02514
RE2958C	rxn02514
HMR_1540	rxn26788
RE3134C	rxn26788
RE3134R	rxn26788
RE3237C	rxn11723
RE3258C	rxn04924
RE3258R	rxn04924
RE3259C	rxn04925
RE3259R	rxn04925
RE3409C	rxn03984
HMR_1373	rxn03430
RE3421M	rxn03430
RE3421R	rxn03430
RE3423C	rxn04870
RE3566C	rxn03428
RE3567C	rxn03429
RETINOLSAT	rxn35464
EX_retinol_e	rxn33167
HMR_6629	rxn33167
RETt	rxn33167
SK_retinol_c	rxn33167
RFAC_HP	rxn10972
RH2CD	rxn10595
RH3CD	rxn10596
RHACOAR100	rxn12767
RHACOAR120	rxn12768
RHACOAR140	rxn12769
RHACOAR60	rxn12770
RHACOAR80	rxn12771
RIBFLVt2	rxn05645
EX_ribflv_e	rxn05224
RIBFLVth	rxn05224
RIBFLVtm	rxn05224
r1106	rxn05224
RIBabc1	rxn05644
EX_rib__D_e	rxn09228
RIBt	rxn09228
RIBtex	rxn09228
RIBt2	rxn09663
RMK	rxn02161
RMPA	rxn01621
RN0027C	rxn16253
RN0027R	rxn16253
RN0028C	rxn16254
RN0028R	rxn16254
RN0028X	rxn16254
RN0029C	rxn16255
RN0029R	rxn16255
EX_rnam_e	rxn29221
RNAMtex	rxn29221
RNAMtpp	rxn29221
RNMK	rxn01671
RPE	rxn01116
RPEc	rxn01116
RPEg	rxn01116
RPEh	rxn01116
RZ5PP	rxn03150
RZ5PP2	rxn10597
Rbtt2	rxn05685
S3AdT	rxn10881
SACCD2	rxn00510
SACCD3m	rxn00511
SACCD_c	rxn00511
SADH	rxn02927
SADT	rxn00379
SADTn	rxn00379
SUAT_h	rxn00379
SALCpts	rxn05647
SALCptspp	rxn05647
SALMCOM2	rxn02088
SAMHISTA	rxn01554
SAMHISTAe	rxn01554
SARCOX	rxn00433
SARCOXp	rxn00433
SAT	rxn00423
SATm	rxn00423
SERAT	rxn00423
SBPP1	rxn04376
SBPP1er	rxn04376
EX_sbt__D_e	rxn09243
SBT_Dt	rxn09243
SBTtex	rxn09243
EX_sbt__L_e	rxn09661
SBT_Lt	rxn09661
SBTt2	rxn05648
SCP2x	rxn14138
SCP2x_cho	rxn14138
SDPDS	rxn01973
SDPTA	rxn03087
SEAHCYSHYD	rxn03378
SEAHCYSHYD_1	rxn03378
SECS	rxn10598
SECYSTL	rxn09249
SECYSTL_h	rxn09249
SERTRS2	rxn09249
SELADT	rxn03373
SELCYSLY	rxn10771
SELCYSLY2	rxn35484
SELCYSLY2_1	rxn35484
SELCYSLY2_h	rxn35484
SELCYSTGL	rxn03374
SELCYSTL	rxn03379
SELCYSTLh	rxn03379
SELCYSTS	rxn03380
SELMETAT	rxn03264
SELTOR_c	rxn11987
SELTORc	rxn11987
SELTORm	rxn11987
EX_slnt_e	rxn32983
SELTt	rxn32983
SELTtm	rxn32983
SLNTtex	rxn32983
SERDC	rxn24108
SERDC_m	rxn24108
SERD_D	rxn00166
SERHL	rxn00426
SERNA1th	rxn09247
SERNA1tm	rxn09247
SERt4	rxn09247
SERt4pp	rxn09247
SERPT	rxn00948
SERPTr	rxn00948
SERR	rxn00425
SERabc	rxn10883
SERabcpp	rxn10883
SERt2m	rxn05307
SERt2r	rxn05307
SERt2rpp	rxn05307
SERth	rxn05307
EX_ser__L_e	rxn09248
SERtc	rxn09248
SERtex	rxn09248
SERtp	rxn09248
SERtpp	rxn09248
SK_ser__L_c	rxn09248
r1435	rxn09248
r2526	rxn09248
SFGTHi	rxn00377
SGAT	rxn00424
SPT_syn	rxn00424
SGDS	rxn00291
SGPL11r	rxn01783
SPHPL	rxn01783
SGSAD	rxn03422
SHCD	rxn10599
SHCHF2	rxn10623
SHK3Dr	rxn01740
SKDH	rxn01740
SHKK	rxn01739
SHKK_1	rxn01739
SKK	rxn01739
SHSL1	rxn15395
SHSL1h	rxn15395
SHSL2	rxn05957
SHSL2h	rxn05957
SHSL2r	rxn05957
SHSL3	rxn09948
SHSL4h	rxn00740
SHSL4r	rxn00740
SKMt2	rxn09256
SKMt2pp	rxn09256
EX_skm_e	rxn09257
SKMtex	rxn09257
SLCBK1	rxn02133
SPHK22n	rxn02133
SLDx	rxn03963
SLDxi2	rxn03963
SLDxm	rxn03963
SLDy	rxn03964
SLFAT	rxn00380
SMTZS	rxn10603
EX_so2_e	rxn09258
SO2tex	rxn09258
SO2tpp	rxn09258
SO3R	rxn30524
SO3t	rxn10604
EX_so3_e	rxn09260
SO3t_1	rxn09260
SO3t_m	rxn09260
SO3tex	rxn09260
SO3ti	rxn09260
SO4NA1t	rxn34447
SO4NA1tm	rxn34447
SO4t4pp_1	rxn34447
SO4t2	rxn05651
SO4t2pp	rxn05651
SO4t4_2	rxn12811
EX_so4_e	rxn05238
HMR_9626	rxn05238
SO4tex	rxn05238
SO4ti	rxn05238
SO4tl	rxn05238
SO4tn	rxn05238
SOTA	rxn02944
SPDC	rxn04026
SPDH	rxn01401
SPMDOX	rxn01401
DM_sph1p_n	rxn13396
EX_sph1p_e	rxn13396
SPH1Pte	rxn13396
SPH1Pter	rxn13396
EX_sphgn_e	rxn31884
SPHGNte	rxn31884
SPHGNtg	rxn31884
SPHGNtn	rxn31884
SPHGNtr	rxn31884
SPMDAT1	rxn09264
SPMDAT2	rxn09265
SPMDabc	rxn05175
SPMDabcpp	rxn05175
EX_spmd_e	rxn09266
SPMDtex	rxn09266
SPMDtex2	rxn09266
SPMDt2	rxn09660
SPMDt2pp	rxn09660
SPMDtmi	rxn09660
SPMDt3i	rxn05652
SPMDt3pp	rxn05652
SPMDtmr	rxn05652
SPODM	rxn00206
SPODM_1	rxn00206
SPODMe	rxn00206
SPODMl	rxn00206
SPODMm	rxn00206
SPODMn	rxn00206
SPODMpp	rxn00206
SPODMx	rxn00206
SPRMt2i	rxn13398
DM_sprm_c	rxn09659
EX_sprm_e	rxn09659
SPRMti	rxn09659
SPTc	rxn00422
SPTix	rxn00422
SQ23EPXter	rxn09640
SQDG18111Z160th	rxn34407
SQDG1819Z160th	rxn34408
SQDGATCA18111Z160	rxn35084
SQDGATCA1819Z160	rxn35085
SQDGATPA18111Z160	rxn35086
SQDGATPA1819Z160	rxn35087
SQDGS18111Z160	rxn35089
SQDGS1819Z160	rxn35090
SQDGW3DS1839Z12Z15Z160	rxn35091
SQDGW6DS1829Z12Z160	rxn35092
SQLErx	rxn13399
EX_sql_e	rxn09639
SQLte	rxn09639
SQLter	rxn09639
HMR_2014	rxn22407
SR5AR2r	rxn22407
SRTN23OX	rxn02082
SSALx	rxn00508
SSALxm	rxn00508
SSNOh	rxn00508
SSALy	rxn00509
r0179	rxn00509
SSCOARy	rxn16140
STARCH300S	rxn35511
STCOATxc	rxn18905
STS1	rxn02444
STS1r	rxn02444
STS2	rxn02798
STS2r	rxn02798
STS3	rxn14180
STS3r	rxn14180
STS4	rxn14238
STS4r	rxn14238
SUCASPtpp	rxn29025
SUCCOAPET	rxn00287
SUCCabc	rxn10138
DM_succ_c	rxn09271
EX_succ_e	rxn09271
SUCCt	rxn09271
SUCCt1pp	rxn09271
SUCCtex	rxn09271
SUCCtmt	rxn09271
SUCCtp	rxn09271
SUCCt2_2	rxn09269
SUCCt2_2pp	rxn09269
SUCCt2_3	rxn10157
SUCCt2_3pp	rxn10157
SUCCt2r	rxn05654
SUCCtpp	rxn05654
SUCCt3	rxn09270
SUCCt3pp	rxn09270
SUCCtm	rxn09713
SUCFUMt	rxn09273
SUCFUMthr	rxn09273
SUCFUMtm	rxn09273
SUCFUMtpp	rxn09273
SUCHMSSELCYSL	rxn31266
SUCHMSSELCYSLh	rxn31266
SUCLm	rxn00285
SUCOAS	rxn00285
SUCOASm	rxn00285
ASCTmr	rxn25164
SUCOAACTr	rxn25164
SUCOAS1m	rxn00306
SUCRabc	rxn18575
SUCRabcpp_syn	rxn18575
SUCRt2	rxn09658
SUCTARTtpp	rxn29229
SULAabc	rxn05656
SULFACabcpp	rxn05656
EX_sula_e	rxn09278
EX_sulfac_e	rxn09278
SULFACtex	rxn09278
SULO	rxn00383
SULOm	rxn00383
r0142	rxn00383
SULR	rxn00623
SULR_1	rxn00623
SIRA2	rxn14057
SO3R_h	rxn14057
SULR_2	rxn14057
SULR_ferr	rxn14057
SULR_syn	rxn14057
SULabc	rxn05153
SULabcpp	rxn05153
Spt3AdT	rxn10886
T2M26DCOAHLm	rxn04275
T2M26DCOAHLx	rxn04275
T4HCINNMFM	rxn13400
EX_T4hcinnm_e	rxn12812
T4HCINNMtex	rxn12812
T4HCINNMtm	rxn12812
T4HCINNMtpp	rxn12812
TAGAH16018111Z160	rxn35093
TAGAH16018111Z1835Z9Z12Z	rxn35097
TAGAH16018111Z1845Z9Z12Z15Z	rxn35098
TAGAH1601819Z160	rxn35099
TAGAH1601819Z180	rxn35100
TAGAH1601819Z1835Z9Z12Z	rxn35103
TAGAH1601819Z1845Z9Z12Z15Z	rxn35104
TAGAH1801819Z180	rxn35106
TAGAH1801819Z1835Z9Z12Z	rxn35109
TAGAH1801819Z1845Z9Z12Z15Z	rxn35110
TAGAH18111Z18111Z1835Z9Z12Z	rxn35115
TAGAH18111Z18111Z1845Z9Z12Z15Z	rxn35116
TAGAH18111Z1819Z1835Z9Z12Z	rxn35121
TAGAH18111Z1819Z1845Z9Z12Z15Z	rxn35122
TAGAH1819Z18111Z1819Z	rxn35126
TAGAH1819Z18111Z1835Z9Z12Z	rxn35127
TAGAH1819Z18111Z1845Z9Z12Z15Z	rxn35128
TAGAH1819Z1819Z1819Z	rxn35132
TAGAH1819Z1819Z1835Z9Z12Z	rxn35133
TAGAH1819Z1819Z1845Z9Z12Z15Z	rxn35134
TAGO	rxn10887
TAL	rxn00737
THRD_L	rxn00737
THRD_Lm	rxn00737
TAPTPPM	rxn10607
TARTD	rxn00245
TARTDC	rxn01285
TARTRDH	rxn04143
TARTRDH2	rxn01847
TARTRt7	rxn09283
TARTRt7pp	rxn09283
EX_tartr__L_e	rxn09284
TARTR_L_Et	rxn09284
TARTRtex	rxn09284
TARTRtpp	rxn09284
TATS	rxn10674
TATSO	rxn10742
TAUDO	rxn03630
TAUPAT1c	rxn12554
TAURabc	rxn05172
TAURabcpp	rxn05172
DM_taur_c	rxn09286
EX_taur_e	rxn09286
TAURt	rxn09286
TAURtex	rxn09286
r0934	rxn09286
TCBO	rxn12500
TCBt2pp	rxn12588
TCHOLABCtc	rxn13403
TCHOLAabcv	rxn13403
TCYD	rxn07334
TOCOPHS2	rxn07334
EX_tcynt_e	rxn09287
TCYNTt	rxn09287
TCYNTtex	rxn09287
TCYNTtm	rxn09287
TCYNTtpp	rxn09287
TDMS3	rxn10697
TDMS4	rxn10758
TDP	rxn00436
TDPm	rxn00436
TDSK	rxn03181
TDSR1	rxn09292
TDSR2	rxn09293
EX_tega_e	rxn34448
TEGAt	rxn34448
TETDHpp1	rxn30533
TETDHpp3	rxn30534
TFENFEOR	rxn06598
THACH	rxn10608
THBPT4ACAMDASE	rxn03236
THD1m	rxn27378
THD2	rxn09295
THD2pp	rxn09295
THDPS	rxn03031
THFOR1	rxn14120
THFOR2	rxn12649
THFtm_1	rxn34534
THIOGabc	rxn05657
THMDt2	rxn05200
THMDt2pp	rxn05200
THMDt4	rxn10892
EX_thymd_e	rxn09299
THMDtex	rxn09299
THYMDt1	rxn09299
THYMDtl	rxn09299
THYMDtm	rxn09299
THMP	rxn01539
THMPe	rxn01539
TMPPH_h	rxn01539
THMTP	rxn00439
TMTP_h	rxn00439
THMabc	rxn05177
THMabcpp	rxn05177
THMt6	rxn05659
THYMt4pp	rxn05659
THRA	rxn00541
THRA_1	rxn00541
THRA_m	rxn00541
THRA2	rxn04142
THRNA1th	rxn09306
THRNA1tm	rxn09306
THRt4	rxn09306
THRt4pp	rxn09306
THRPDC	rxn04385
EX_thrp_e	rxn09303
THRPtex	rxn09303
THRS	rxn01069
THRS_1	rxn01069
THRS_2	rxn01069
THRabc	rxn05169
THRabcpp	rxn05169
THRt2m	rxn05300
THRt2r	rxn05300
THRt2rpp	rxn05300
THRth	rxn05300
THRt2pp	rxn09304
EX_thr__L_e	rxn09307
SK_thr__L_c	rxn09307
THRtex	rxn09307
r2534	rxn09307
thr_mt	rxn09307
EX_thym_e	rxn09309
THYMt	rxn09309
THYMtex	rxn09309
r0921	rxn09309
THYMt3pp	rxn09308
THYMt3r	rxn09308
THZPSN	rxn09310
THZPSN_1	rxn09310
TIH2CD	rxn10610
TIHCD	rxn10612
TM16018111Z	rxn35135
TM1601819Z	rxn35136
TM18111Z18111Z	rxn35137
TM18111Z1819Z	rxn35138
TM1819Z18111Z	rxn35139
TM1819Z1819Z	rxn35140
TMABADH	rxn02350
TMAMT	rxn10613
TMAt2	rxn10614
EX_tma_e	rxn09318
EX_tmam_e	rxn09318
TMAMt	rxn09318
TMAtex	rxn09318
TMDK1	rxn01143
TMDK1_1	rxn01143
TMDK1m	rxn01143
TMDPK	rxn00440
TMDPK_1	rxn00440
TMDPPK	rxn00437
TMDS	rxn01520
TMDS3	rxn37797
TMHAS6	rxn10673
TMK	rxn01538
TMLOX_m	rxn02469
TMLYSOX	rxn02469
AMPAH	rxn01537
TMN	rxn01537
TMPK	rxn00438
TMPPP	rxn02305
TMTB	rxn34613
TMTD	rxn07335
TOCOPHOM2	rxn07335
EX_tol_e	rxn12814
TOLtex	rxn12814
TOLtpp	rxn12814
TRDR2	rxn36841
TRDR3	rxn36773
HMR_6617	rxn13407
TRDRDtp	rxn13407
r1441	rxn13407
TREabc	rxn10839
TREpts	rxn02005
TREptspp	rxn02005
TREt2	rxn09655
TREt2v	rxn09655
DM_tre_c	rxn09323
EX_tre_e	rxn09323
TREt	rxn09323
TREtex	rxn09323
TRIODTHYSULT	rxn20974
TRYPTAOX	rxn01564
TSR	rxn10615
TSULR3e	rxn06060
TSULabc	rxn05176
TSULabcpp	rxn05176
EX_tsul_e	rxn09330
TSULt	rxn09330
TSULtex	rxn09330
TSULth	rxn34412
TSULtm	rxn34412
TTDCAFATPc	rxn08450
TTDCAt2	rxn10163
TTDCAt2pp	rxn10163
TTONR1pp	rxn30531
TTONR2pp	rxn30532
TUNGSabcpp	rxn09333
EX_tungs_e	rxn09334
TUNGStex	rxn09334
TXASr	rxn01625
DM_tym_c	rxn09335
EX_tym_e	rxn09335
TYMte	rxn09335
TYMtex	rxn09335
TYRCBOX	rxn00529
TYRDOPO	rxn00024
TYRDOPO3	rxn00036
TYRL	rxn42709
TYRNFT	rxn13410
TYROX	rxn00522
TYROXDAc	rxn01715
TYROXDApp	rxn01715
TYRTA	rxn00527
TYRTAh	rxn00527
TYRTAi	rxn00527
TYRTAim	rxn00527
TYRTAip	rxn00527
EX_tyr__L_e	rxn09339
SK_tyr__L_c	rxn09339
TYRt	rxn09339
TYRtex	rxn09339
TYRtipp	rxn09339
r1078	rxn09339
TYRt2m	rxn05301
TYRt2p	rxn05301
TYRt2r	rxn05301
TYRt2rpp	rxn05301
TYRt7	rxn05301
TYRth	rxn05301
TYRt6	rxn13411
EX_uacgam_e	rxn09342
UACGAMtex	rxn09342
UAGDP2	rxn10996
UAGPT1	rxn03405
UDPGDC	rxn07473
EX_udpglcur_e	rxn09352
UDPGLCURtex	rxn09352
UDPGLCURtr	rxn09352
r2519	rxn09352
UDPGNP	rxn14144
UDPKAAT	rxn07474
EX_udp_e	rxn29340
UDPt_h	rxn29340
UDPtg	rxn29340
UDPth	rxn29340
UDPtl	rxn29340
UDPtm	rxn29340
UDPtn	rxn29340
UGAGDS	rxn10774
UGE	rxn01008
UGGPT3	rxn10776
UGLYCH	rxn00327
UGMAGS	rxn10773
UGMAS	rxn10780
UGMDDS2	rxn10775
UGT1A1r	rxn01697
UGT1A3r	rxn01795
UGT1A7r	rxn03024
UGT1A8r	rxn03202
UHBZ1t_pp	rxn12549
ULA4Ntppi	rxn09357
UMPK	rxn00119
UMPKm	rxn00119
UMPKn	rxn00119
UMPt6	rxn05665
EX_ump_e	rxn09361
HMR_7715	rxn09361
UMPtex	rxn09361
UMPth	rxn09361
UMPtn	rxn09361
UMPtr	rxn09361
UNK2	rxn10944
UNK2_cho	rxn10944
UNK5	rxn09950
EX_unknown_cbl1deg_e	rxn10616
UNK_CBL1DEGt	rxn10616
EX_unknown_rbfdeg_e	rxn10617
UNK_RBFDEGt	rxn10617
UPP3S	rxn02264
UPP3S_1	rxn02264
UPPDC1	rxn02288
UPPDC1_1	rxn02288
UPPRT	rxn00711
EX_ura_e	rxn09366
URAt	rxn09366
URAtex	rxn09366
URAtpp	rxn09366
URAt2	rxn05197
URAt2pp	rxn05197
URCB	rxn00560
URCBm	rxn00560
UREASE	rxn00560
URDGLYCD	rxn02102
UREA	rxn00101
UREASE_m	rxn00101
UREA2t2	rxn09653
UREA2t2pp	rxn09653
UREAabcpp	rxn05157
UREAt_1	rxn34450
UREAtm_1	rxn34450
URFGTT	rxn03397
URIDK2m	rxn01517
URIDK2r	rxn01517
URIDK2rn	rxn01517
URIH	rxn00797
URIK1	rxn00709
URIK1_1	rxn00709
URIK2	rxn00713
URIK2_1	rxn00713
EX_uri_e	rxn09372
URIt	rxn09372
URItex	rxn09372
Uritl	rxn09372
Uritm	rxn09372
Uritn	rxn09372
URIt2	rxn05199
URIt2pp	rxn05199
URIt4	rxn10895
UROLACer	rxn01081
USHD_HP	rxn10957
UCPP	rxn00368
UTCY	rxn00368
UTPH1	rxn13414
UTPtm	rxn13415
EX_utp_e	rxn29342
UTPt_h	rxn29342
UTPtm_1	rxn29342
UTPtn	rxn29342
r0892	rxn29342
UDUPP	rxn00712
UTUP	rxn00712
BUT3ZI_m	rxn02171
VACOAI	rxn02171
VALDHr	rxn01045
VALabc	rxn05168
VALabcpp	rxn05168
VALt2m	rxn05669
VALt2r	rxn05669
VALt2rpp	rxn05669
VALth	rxn05669
VALt4	rxn05242
VALt_h	rxn05242
VALt_m	rxn05242
EX_val__L_e	rxn05245
SK_val__L_c	rxn05245
VALt5m	rxn05245
VALtec	rxn05245
VALtex	rxn05245
VANKpp	rxn12816
EX_vanln_e	rxn12817
VANLNtex	rxn12817
EX_vanlt_e	rxn12818
VANLTtex	rxn12818
HMR_1627	rxn14296
VLCSp	rxn14296
VLCSr	rxn14296
VNDH	rxn03969
VNDH_2	rxn00957
VNDH_3	rxn12681
VNLNpp	rxn12819
VNTDM	rxn03586
VOR	rxn10618
VPAMTr	rxn00904
X00002	rxn10008
X5PL3E	rxn02321
EX_xan_e	rxn09378
SK_xan_c	rxn09378
XANt	rxn09378
XANtex	rxn09378
XANtpp	rxn09378
XANtx	rxn09378
XANt2	rxn05202
XANt2pp	rxn05202
EX_xmp_e	rxn09380
XMPtex	rxn09380
XMPtr	rxn09380
XPPT	rxn01544
XTSNH	rxn01545
XTSNt2	rxn05680
XTSNt2rpp	rxn05680
EX_xtsn_e	rxn09382
XTSNtex	rxn09382
XTSNtr	rxn09382
XYL3abc	rxn18510
XYLOR	rxn01042
EX_xylt_e	rxn09651
XYLTt	rxn09651
XYLabc	rxn05167
XYLabcpp	rxn05167
EX_xyl__D_e	rxn09385
XYLt	rxn09385
XYLtex	rxn09385
XYLtly	rxn09385
XYLt2	rxn05671
XYLt2pp	rxn05671
ZN2abcpp	rxn09388
ZN2t3pp	rxn09389
ZN2t4	rxn05315
ZN2t4pp	rxn05315
